Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
24712,0,47,59,19,18,31,30,26,REABASTECER
24770,86,42,52,16,16,25,28,20,NORMAL
25565,74,32,42,10,13,23,24,15,NORMAL
24398,67,22,32,4,11,21,18,11,REABASTECER
23978,57,12,22,43,8,20,12,8,REABASTECER
25934,44,3,18,37,3,14,8,2,REABASTECER
27866,36,65,14,36,43,13,4,43,REABASTECER
25830,27,57,6,35,40,12,43,40,NORMAL
26576,14,50,65,30,36,8,39,37,NORMAL
25044,2,45,55,26,32,8,37,33,REABASTECER
24814,86,41,47,22,26,6,34,31,NORMAL
27804,79,36,39,20,21,43,30,29,NORMAL
25770,66,29,33,14,15,38,28,24,NORMAL
24183,59,21,23,8,11,34,25,22,REABASTECER
26493,49,13,13,7,6,31,23,16,REABASTECER
27216,36,3,8,1,43,30,17,10,REABASTECER
25098,27,65,65,43,38,25,12,8,NORMAL
25782,17,59,56,43,32,21,6,5,REABASTECER
27363,10,54,49,42,29,20,43,43,NORMAL
27225,86,46,39,36,25,19,39,40,NORMAL
26168,73,44,35,30,23,14,37,35,NORMAL
25678,63,35,25,28,21,8,32,31,NORMAL
24277,54,25,20,24,17,7,26,27,NORMAL
26934,45,23,10,18,12,6,20,24,NORMAL
27050,34,19,5,14,8,43,17,22,NORMAL
26016,22,14,65,13,5,42,15,16,REABASTECER
26399,15,5,61,9,43,40,13,14,REABASTECER
25069,2,65,54,5,41,34,11,8,REABASTECER
26983,86,60,45,43,36,29,5,5,REABASTECER
26261,74,50,41,38,30,24,43,43,NORMAL
26542,63,43,35,36,25,19,37,39,NORMAL
27258,54,37,28,35,21,15,31,36,NORMAL
25638,46,34,22,31,18,14,26,33,NORMAL
27538,35,30,13,31,13,13,23,29,NORMAL
24269,26,22,8,26,8,8,20,26,REABASTECER
25605,13,15,65,22,4,6,14,21,REABASTECER
26423,4,5,56,17,43,43,12,15,REABASTECER
27846,86,65,52,11,41,38,7,11,NORMAL
27434,74,61,45,6,37,35,2,9,REABASTECER
27592,62,51,41,43,31,29,43,3,REABASTECER
27162,50,47,37,39,27,28,38,43,NORMAL
27740,41,44,31,36,23,27,33,41,NORMAL
27612,29,37,23,36,17,25,27,36,NORMAL
25138,18,33,14,31,12,23,24,34,REABASTECER
26881,11,23,10,26,9,18,21,32,REABASTECER
24369,86,18,5,21,6,13,16,30,REABASTECER
25254,76,13,65,16,43,13,14,28,NORMAL
26046,65,4,56,16,39,12,9,22,REABASTECER
24147,54,65,48,11,37,8,5,19,REABASTECER
25084,47,63,43,11,34,4,43,16,NORMAL
27181,35,58,37,7,28,43,37,14,REABASTECER
24407,26,52,29,4,24,40,33,9,NORMAL
26741,17,47,19,43,22,37,28,7,NORMAL
26676,5,39,15,42,20,34,26,4,NORMAL
26408,86,30,8,42,14,33,23,43,NORMAL
26895,78,23,65,42,9,31,18,37,REABASTECER
25689,67,15,58,42,4,25,12,35,REABASTECER
24445,56,5,52,37,43,24,10,33,REABASTECER
25206,47,65,45,36,39,24,6,30,REABASTECER
27823,34,60,40,36,34,20,43,24,NORMAL
25609,23,54,33,30,30,14,38,21,NORMAL
24602,13,48,27,28,24,12,34,19,NORMAL
25214,3,40,18,24,22,10,29,14,REABASTECER
27010,86,32,10,18,20,8,25,12,NORMAL
24414,78,29,5,16,17,3,23,9,NORMAL
24393,66,27,65,14,11,43,20,5,NORMAL
27397,58,25,55,8,6,39,18,43,REABASTECER
26107,48,21,46,5,43,35,13,38,REABASTECER
26763,35,16,38,43,41,30,9,34,NORMAL
24338,22,12,32,39,35,29,5,31,REABASTECER
27723,11,5,27,35,29,24,43,26,REABASTECER
26051,86,65,19,29,27,18,38,22,NORMAL
24745,76,61,11,26,21,14,33,17,NORMAL
27007,66,52,4,23,15,10,27,14,NORMAL
26183,56,47,65,21,11,8,22,12,REABASTECER
25318,49,39,55,17,9,4,20,9,NORMAL
25246,39,37,48,12,5,43,16,5,REABASTECER
27540,32,29,44,10,43,38,12,43,NORMAL
24708,21,26,35,5,39,34,6,39,REABASTECER
26932,11,24,30,43,34,29,43,34,NORMAL
27871,86,18,25,43,29,23,40,29,NORMAL
25351,74,16,18,42,25,20,35,23,NORMAL
25377,64,13,8,40,23,14,32,19,NORMAL
27347,55,9,65,40,21,11,30,13,NORMAL
24495,47,65,61,36,18,6,24,8,NORMAL
24909,34,58,51,35,15,43,22,4,NORMAL
24451,23,48,46,33,12,38,19,43,REABASTECER
24373,12,44,42,33,6,35,14,38,REABASTECER
24753,86,41,33,32,43,32,8,36,NORMAL
25718,76,32,27,32,41,27,2,34,REABASTECER
25451,67,28,22,26,36,26,43,31,NORMAL
25982,58,26,14,21,32,22,41,28,NORMAL
24691,47,23,4,15,28,16,35,22,NORMAL
24755,35,17,65,12,26,15,32,17,NORMAL
26748,26,11,60,12,23,14,27,15,NORMAL
26170,15,1,51,12,18,12,21,11,REABASTECER
24706,7,65,46,8,12,7,15,7,REABASTECER
26887,86,63,42,8,9,5,9,5,REABASTECER
27808,77,53,32,6,7,43,5,43,REABASTECER
24822,69,47,26,43,3,37,43,38,REABASTECER
27182,59,38,18,37,43,34,41,32,NORMAL
24548,49,29,13,35,37,28,37,28,NORMAL
24206,40,25,7,34,33,24,31,23,NORMAL
25703,27,22,65,28,28,24,25,17,NORMAL
24833,18,16,59,26,26,19,19,11,NORMAL
27263,10,13,50,25,21,18,15,7,REABASTECER
25500,86,4,40,24,18,13,10,2,REABASTECER
26670,75,65,34,19,16,9,8,43,NORMAL
24231,62,58,25,19,11,6,5,41,REABASTECER
25343,54,49,17,18,5,43,43,38,REABASTECER
26330,43,42,9,18,43,37,40,32,NORMAL
27751,36,33,65,13,41,36,35,28,NORMAL
26009,24,29,61,7,39,36,32,23,REABASTECER
24623,11,25,52,7,35,35,29,17,REABASTECER
25266,86,18,47,1,30,32,25,13,REABASTECER
27576,79,12,40,43,25,26,22,9,NORMAL
25557,71,2,36,41,22,24,17,4,REABASTECER
26750,64,65,32,41,18,20,13,43,NORMAL
25629,56,63,22,36,14,19,10,37,NORMAL
26859,49,54,12,32,8,16,7,31,REABASTECER
25061,38,47,4,32,2,12,2,27,REABASTECER
27479,27,40,65,30,43,7,43,21,NORMAL
26161,15,31,55,29,41,7,40,15,NORMAL
24184,8,23,46,24,35,6,34,13,NORMAL
27558,86,14,42,24,30,43,30,7,NORMAL
24572,78,11,33,23,27,43,25,3,NORMAL
25207,70,1,29,17,23,41,19,43,REABASTECER
25626,57,65,22,14,18,35,17,39,NORMAL
27126,47,60,15,8,13,33,14,36,REABASTECER
24024,36,58,6,6,10,29,11,30,REABASTECER
25585,29,51,65,43,8,27,6,26,REABASTECER
24709,18,43,61,38,2,26,43,22,REABASTECER
26506,9,41,57,38,43,23,39,19,NORMAL
27769,86,35,48,34,38,17,33,17,NORMAL
25099,78,29,43,33,36,17,27,14,NORMAL
26808,66,21,39,32,33,16,24,10,NORMAL
26646,55,11,29,31,30,12,22,8,NORMAL
27579,43,6,25,30,25,9,17,3,REABASTECER
27359,34,65,19,27,23,9,12,43,NORMAL
27020,24,62,13,21,17,4,10,39,NORMAL
25494,14,58,9,19,12,43,4,33,REABASTECER
27078,6,51,65,13,7,37,43,28,REABASTECER
27367,86,48,57,9,1,34,41,23,REABASTECER
26701,79,41,51,7,43,30,36,19,REABASTECER
27873,67,36,42,5,37,29,32,16,REABASTECER
25184,56,33,33,43,34,28,30,13,NORMAL
26788,43,29,27,39,29,23,27,11,NORMAL
25439,32,24,18,33,24,19,24,5,REABASTECER
26834,21,22,14,29,19,15,20,43,NORMAL
26409,11,16,6,25,15,11,17,41,NORMAL
26529,86,7,65,21,12,9,12,35,REABASTECER
24684,74,65,57,16,10,8,6,29,REABASTECER
23956,65,62,51,13,4,6,43,24,REABASTECER
25985,58,57,41,9,43,43,39,19,REABASTECER
24855,45,53,37,6,39,37,37,13,REABASTECER
25304,38,43,28,43,35,33,31,8,NORMAL
26540,30,33,23,39,30,28,29,3,REABASTECER
24022,22,26,18,36,26,25,24,43,NORMAL
27483,10,18,8,34,20,23,20,39,NORMAL
25879,86,14,65,34,15,18,16,36,NORMAL
24199,73,7,55,30,13,18,11,33,NORMAL
25637,60,65,51,29,11,15,6,31,REABASTECER
26193,52,57,42,28,8,13,43,28,REABASTECER
26410,40,51,35,27,4,13,39,24,REABASTECER
27257,28,47,29,24,43,11,36,19,NORMAL
24446,19,43,20,19,38,8,31,15,NORMAL
24260,11,37,14,18,32,8,25,9,REABASTECER
24876,86,34,5,12,30,8,22,5,NORMAL
25328,78,25,65,12,24,8,18,43,NORMAL
26965,66,19,55,6,18,5,15,40,REABASTECER
27648,58,17,51,43,13,43,10,34,NORMAL
24023,47,9,42,39,7,39,4,31,REABASTECER
26458,36,65,38,36,3,35,43,25,REABASTECER
24993,27,56,28,34,43,31,39,19,NORMAL
24717,15,54,18,32,40,26,35,14,NORMAL
26339,6,46,8,32,36,25,31,8,REABASTECER
25848,86,41,65,32,31,20,27,2,NORMAL
25220,76,39,61,27,26,20,23,43,NORMAL
24132,65,31,51,26,22,19,17,37,NORMAL
26592,56,28,44,26,20,19,13,32,NORMAL
26823,47,23,35,24,17,18,8,30,NORMAL
27379,34,21,26,24,13,16,4,28,REABASTECER
25661,21,11,16,23,8,16,43,24,REABASTECER
24610,11,1,10,20,2,12,37,18,REABASTECER
26399,86,65,5,15,43,11,33,13,NORMAL
25208,76,57,65,15,37,10,28,9,NORMAL
24193,67,54,60,12,34,4,26,7,NORMAL
23972,57,49,51,6,29,43,22,4,REABASTECER
25792,50,40,47,43,24,40,18,43,NORMAL
26234,42,36,43,42,21,39,15,38,NORMAL
26905,31,33,39,42,15,38,12,35,NORMAL
25455,24,26,30,38,11,32,8,33,REABASTECER
27829,15,24,23,34,8,30,2,28,REABASTECER
25845,2,20,14,30,6,25,43,26,REABASTECER
26028,86,12,10,29,43,24,41,24,NORMAL
25102,74,2,3,27,41,21,38,21,REABASTECER
26572,62,65,65,21,39,20,35,16,NORMAL
26331,49,57,56,16,33,14,33,11,NORMAL
27236,40,51,49,10,31,10,30,9,NORMAL
27496,33,47,40,10,28,10,27,4,REABASTECER
26527,20,43,31,10,22,6,21,43,NORMAL
26526,8,39,23,5,19,43,18,38,REABASTECER
26904,86,31,17,43,16,43,14,36,NORMAL
25471,75,26,7,39,10,41,9,31,REABASTECER
25305,65,24,65,35,5,37,3,29,REABASTECER
25667,56,19,59,35,43,31,43,24,NORMAL
24238,47,12,52,33,38,28,38,21,NORMAL
24247,34,9,43,32,35,26,33,17,NORMAL
24289,21,65,39,27,31,23,31,13,NORMAL
25241,14,59,34,25,26,21,27,10,NORMAL
25471,2,54,26,23,21,15,22,4,REABASTECER
25876,86,48,18,17,18,14,17,43,NORMAL
27578,76,44,10,14,14,14,13,40,NORMAL
25920,67,37,3,14,11,8,10,37,REABASTECER
26544,58,35,65,11,9,4,4,32,REABASTECER
25852,51,32,60,7,6,43,43,27,REABASTECER
24099,44,30,54,4,43,41,37,24,REABASTECER
27565,33,27,46,43,37,39,33,18,NORMAL
26775,23,25,36,41,32,38,28,15,NORMAL
24353,12,16,29,37,26,36,25,10,NORMAL
26797,86,11,19,33,20,35,21,4,NORMAL
26891,74,9,14,32,17,29,18,43,NORMAL
24516,65,65,8,32,13,25,14,39,NORMAL
25147,52,59,65,29,9,20,8,34,REABASTECER
25479,44,55,59,23,5,20,3,29,REABASTECER
26890,32,53,51,22,43,15,43,26,NORMAL
26248,21,48,41,18,38,11,40,22,NORMAL
26411,8,39,31,16,36,6,36,20,NORMAL
26899,86,29,24,12,31,43,33,17,NORMAL
27008,73,26,20,6,28,43,30,14,REABASTECER
26927,65,19,12,43,23,37,25,9,NORMAL
24995,52,9,7,41,21,31,20,6,NORMAL
25428,44,65,65,35,16,29,16,43,NORMAL
25369,32,56,56,34,10,28,11,40,REABASTECER
24289,24,50,50,30,8,22,9,38,REABASTECER
26691,12,44,40,25,2,16,4,35,REABASTECER
24828,86,34,31,20,43,14,43,32,NORMAL
27783,76,26,21,15,39,8,38,30,NORMAL
24318,66,21,13,11,33,7,35,26,NORMAL
27716,53,12,8,11,27,4,32,20,REABASTECER
26576,40,6,65,11,24,43,28,18,REABASTECER
23882,33,65,60,11,18,41,23,16,NORMAL
26270,24,60,51,5,12,36,17,12,REABASTECER
27128,16,58,46,43,6,33,11,10,REABASTECER
25515,5,51,41,42,43,32,5,7,NORMAL
27655,86,44,33,37,41,31,43,3,NORMAL
24424,75,38,27,37,37,30,41,43,NORMAL
23919,66,30,18,37,35,29,38,37,NORMAL
24576,58,25,14,35,33,28,34,34,NORMAL
26803,51,20,10,34,31,25,30,30,NORMAL
26078,41,15,5,31,29,24,26,24,NORMAL
24908,33,11,65,27,27,24,23,19,NORMAL
25878,20,7,58,21,23,21,18,13,NORMAL
27195,11,65,53,17,18,16,12,10,NORMAL
26812,86,58,49,17,14,10,9,6,NORMAL
25432,77,50,43,14,11,6,6,43,REABASTECER
24923,70,47,38,8,8,43,43,41,REABASTECER
26316,58,40,34,2,3,43,38,36,REABASTECER
25748,49,33,28,43,43,39,32,33,NORMAL
27804,41,31,18,43,39,33,27,31,NORMAL
26644,28,22,11,42,37,27,24,29,NORMAL
25187,16,13,4,38,35,23,20,23,NORMAL
24423,8,8,65,38,31,20,18,17,NORMAL
24808,86,65,56,34,27,15,13,15,NORMAL
27295,78,56,51,28,24,15,9,12,NORMAL
27068,69,53,42,26,20,10,4,9,REABASTECER
26958,61,50,36,24,15,6,43,3,NORMAL
26960,53,46,29,19,11,43,40,43,REABASTECER
27143,40,42,25,19,5,37,38,40,REABASTECER
26107,32,32,18,13,43,36,34,35,NORMAL
27625,22,26,14,13,37,33,28,30,NORMAL
26818,9,23,9,8,34,29,26,24,REABASTECER
25367,86,19,65,5,32,29,23,22,REABASTECER
23962,79,12,57,43,28,24,20,16,NORMAL
24020,69,4,53,43,22,18,16,11,REABASTECER
24334,57,65,45,38,18,15,14,6,NORMAL
24225,48,62,36,36,16,14,9,43,NORMAL
25049,36,57,28,31,14,13,3,39,REABASTECER
27737,24,54,19,28,9,13,43,33,REABASTECER
26020,16,44,12,26,5,13,40,27,REABASTECER
27321,4,38,7,23,43,7,34,25,REABASTECER
24542,86,36,65,17,39,5,29,20,NORMAL
24168,76,27,61,11,35,43,26,18,NORMAL
25213,68,20,55,9,33,39,22,16,REABASTECER
23975,56,16,45,8,27,38,20,11,REABASTECER
25085,43,12,35,4,22,32,18,7,REABASTECER
25861,32,8,28,43,16,30,16,3,REABASTECER
25617,20,65,22,39,10,25,12,43,REABASTECER
26844,8,62,17,37,8,23,10,41,REABASTECER
24819,86,54,9,35,3,23,6,36,REABASTECER
25748,74,45,65,32,43,23,43,34,NORMAL
26206,65,35,58,27,37,18,37,31,NORMAL
24283,57,33,53,22,35,16,34,26,NORMAL
24120,49,26,48,22,30,16,31,21,NORMAL
25208,36,16,43,17,24,10,26,16,NORMAL
27250,23,6,39,17,19,6,20,14,REABASTECER
24677,10,65,29,15,13,43,14,9,NORMAL
26384,86,62,21,13,11,43,11,5,REABASTECER
24156,74,54,17,7,7,38,5,43,REABASTECER
26778,66,45,10,7,2,33,43,41,REABASTECER
26886,59,38,0,6,43,33,37,39,REABASTECER
25242,50,29,65,43,37,29,33,34,NORMAL
27498,42,21,57,39,34,26,27,28,NORMAL
27771,31,17,50,36,32,26,21,23,NORMAL
26319,24,14,40,30,30,21,17,18,NORMAL
26380,12,5,36,30,27,20,13,16,REABASTECER
26539,86,65,31,30,22,20,11,13,NORMAL
25362,78,62,25,27,20,15,5,8,REABASTECER
27661,68,52,16,24,15,10,43,5,NORMAL
24095,57,48,11,21,11,8,40,43,REABASTECER
26097,46,42,5,19,8,5,34,40,NORMAL
25964,37,33,65,17,4,43,28,35,REABASTECER
24431,30,24,61,17,43,37,25,30,NORMAL
24987,21,17,55,13,37,31,23,27,NORMAL
24705,8,12,51,10,32,29,19,24,NORMAL
27326,86,7,42,5,29,23,17,18,REABASTECER
24505,78,65,37,43,24,19,15,14,NORMAL
26100,65,59,28,38,22,16,9,10,NORMAL
24419,53,49,20,33,18,10,7,7,REABASTECER
24873,43,46,12,27,12,7,1,3,REABASTECER
26834,34,44,7,24,7,1,43,43,NORMAL
25225,25,39,65,20,5,43,41,38,REABASTECER
24119,12,33,58,20,43,40,38,32,NORMAL
27059,86,26,49,16,37,38,32,27,NORMAL
26549,79,24,40,14,33,35,28,22,NORMAL
27536,66,19,33,8,30,31,25,16,REABASTECER
24893,58,9,29,3,27,25,21,12,REABASTECER
24754,45,65,23,43,22,21,16,7,NORMAL
24036,38,57,14,43,19,20,11,1,NORMAL
24957,28,49,7,41,17,17,6,43,REABASTECER
25602,17,39,65,40,14,17,43,41,NORMAL
27188,4,29,60,36,8,15,38,39,REABASTECER
24154,86,23,56,32,2,13,36,36,REABASTECER
27029,77,13,49,30,43,10,30,32,NORMAL
26427,67,9,41,27,38,8,28,28,NORMAL
25105,58,65,33,25,33,3,22,22,NORMAL
26913,46,60,23,23,29,43,16,17,NORMAL
25470,36,51,13,23,26,43,14,15,NORMAL
24253,25,48,5,23,20,39,8,11,NORMAL
26918,18,38,65,18,18,35,6,6,REABASTECER
25645,11,36,56,16,15,29,43,43,NORMAL
27626,86,26,46,12,13,25,41,40,NORMAL
27208,76,22,36,10,8,21,36,37,REABASTECER
23985,67,17,28,10,2,17,34,35,REABASTECER
26995,59,14,24,6,43,17,29,30,REABASTECER
26629,50,9,18,43,38,11,27,26,NORMAL
24052,42,65,14,43,33,8,25,20,NORMAL
27282,34,62,5,38,31,7,23,14,NORMAL
24542,26,54,65,38,27,2,19,10,NORMAL
27597,14,47,59,35,23,43,17,6,NORMAL
27790,1,38,50,34,19,39,13,43,REABASTECER
25062,86,30,46,32,17,34,11,40,NORMAL
25752,76,23,41,29,14,29,7,35,NORMAL
26813,64,13,33,26,9,23,3,31,REABASTECER
25149,57,11,28,22,6,23,43,28,REABASTECER
26530,45,5,21,17,43,18,37,25,REABASTECER
25507,33,65,17,13,40,15,32,23,NORMAL
24361,21,59,12,12,38,9,26,18,NORMAL
26997,11,49,6,12,32,8,22,16,NORMAL
26254,86,43,65,9,27,8,20,13,REABASTECER
26001,77,38,61,6,21,7,18,9,REABASTECER
27667,69,28,53,43,19,2,14,3,NORMAL
23977,56,22,44,37,13,43,11,43,NORMAL
25649,46,13,38,36,7,42,7,37,NORMAL
26698,33,11,34,35,5,40,1,32,REABASTECER
27004,21,2,30,30,43,39,43,26,REABASTECER
24798,13,65,24,26,38,33,41,22,NORMAL
26543,4,63,16,20,36,29,37,16,REABASTECER
25967,86,54,10,15,34,23,33,10,NORMAL
26885,79,49,5,15,31,18,29,6,NORMAL
25095,72,45,65,10,28,16,25,43,NORMAL
26132,65,43,56,4,24,10,22,39,REABASTECER
26229,58,36,50,43,22,5,18,35,NORMAL
26587,48,26,41,40,16,43,16,31,NORMAL
25104,38,24,31,39,10,39,11,28,REABASTECER
27552,31,21,21,33,8,37,7,24,NORMAL
26163,21,18,13,31,6,33,4,22,REABASTECER
26593,8,12,9,30,43,29,43,17,NORMAL
25576,86,3,65,30,38,23,38,15,REABASTECER
26688,76,65,58,27,35,18,33,12,NORMAL
27146,64,62,53,25,30,15,30,10,NORMAL
24491,56,60,44,23,26,13,25,8,NORMAL
25977,46,54,39,21,21,7,22,3,NORMAL
26349,37,52,30,21,19,3,18,43,NORMAL
26905,30,48,24,16,14,43,14,39,NORMAL
24767,21,38,18,10,9,38,8,35,NORMAL
25123,8,31,12,5,7,32,6,31,REABASTECER
25151,86,28,4,43,4,26,43,26,REABASTECER
25802,76,19,65,37,43,20,37,22,NORMAL
24790,64,17,58,31,41,14,34,18,NORMAL
25363,53,8,53,31,39,10,29,15,NORMAL
25798,40,65,49,30,37,8,25,13,NORMAL
25690,28,59,42,24,35,5,19,9,NORMAL
25814,20,51,36,18,33,43,15,6,REABASTECER
24891,10,46,30,15,31,42,9,43,NORMAL
27009,86,42,22,12,25,41,4,39,NORMAL
23917,74,34,16,8,22,37,43,33,REABASTECER
23999,64,27,8,8,17,36,40,31,REABASTECER
25939,54,18,65,5,14,33,36,29,REABASTECER
24907,43,11,55,43,11,31,31,23,REABASTECER
27696,31,2,49,43,5,30,28,20,REABASTECER
25600,23,65,42,40,43,30,22,18,NORMAL
24667,10,63,38,36,38,28,16,12,NORMAL
26774,86,61,34,30,32,26,10,8,NORMAL
24332,76,57,30,29,28,24,5,5,REABASTECER
26195,66,54,23,28,26,22,43,43,NORMAL
27575,55,48,13,24,21,16,41,41,NORMAL
25874,46,44,6,19,18,16,39,37,NORMAL
25644,37,35,65,17,15,11,36,32,NORMAL
26213,28,30,56,11,13,11,30,26,NORMAL
26874,18,28,51,11,9,11,24,20,REABASTECER
25979,8,24,41,8,6,7,21,17,REABASTECER
24887,86,19,34,2,43,7,17,13,REABASTECER
25856,74,9,29,43,38,7,15,10,NORMAL
27206,66,65,24,42,33,2,9,8,NORMAL
25905,53,60,16,38,27,43,3,6,REABASTECER
27569,46,52,12,36,24,43,43,43,NORMAL
26655,39,48,7,30,19,43,39,41,NORMAL
24782,26,41,65,25,13,38,36,37,NORMAL
27239,14,31,60,23,9,38,31,32,REABASTECER
25823,3,26,55,18,4,35,26,30,REABASTECER
27695,86,23,50,17,43,33,20,28,NORMAL
25858,75,13,41,14,41,28,16,23,NORMAL
24542,63,11,33,14,39,25,13,18,NORMAL
24520,51,6,27,9,33,22,8,15,REABASTECER
23906,43,65,19,5,27,16,4,10,REABASTECER
27327,31,57,15,43,25,13,43,5,REABASTECER
26609,23,54,11,39,23,13,37,43,NORMAL
26052,15,48,6,35,17,8,31,37,NORMAL
25299,3,44,65,31,11,6,25,32,REABASTECER
27059,86,38,61,30,7,43,22,26,NORMAL
26917,77,28,56,29,5,42,20,22,NORMAL
26242,67,20,49,28,43,36,18,19,NORMAL
25195,54,13,41,24,39,35,14,14,NORMAL
25286,44,7,36,18,36,29,11,8,NORMAL
26787,34,65,28,17,33,27,6,2,REABASTECER
26629,21,60,18,15,27,22,43,43,NORMAL
27517,9,56,13,14,21,17,37,37,NORMAL
26860,86,49,7,14,17,12,33,33,NORMAL
24571,74,41,65,8,14,7,27,27,REABASTECER
